Bulan,SUM of Inflasi mom,"<b>Aug-2025<br>0,26</b>"
Thu Feb 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),0.37,0.37
Fri Mar 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),0.52,0.52
Mon Apr 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),0.25,0.25
Wed May 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),-0.03,-0.03
Sat Jun 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),-0.08,-0.08
Mon Jul 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),-0.18,-0.18
Thu Aug 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),-0.03,-0.03
Sun Sep 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),-0.12,-0.12
Tue Oct 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),0.08,0.08
Fri Nov 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),0.3,0.3
Sun Dec 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),0.44,0.44
Wed Jan 01 2025 00:00:00 GMT+0700 (Western Indonesia Time),-0.76,-0.76
Sat Feb 01 2025 00:00:00 GMT+0700 (Western Indonesia Time),-0.48,-0.48
Sat Mar 01 2025 00:00:00 GMT+0700 (Western Indonesia Time),1.65,1.65
Tue Apr 01 2025 00:00:00 GMT+0700 (Western Indonesia Time),1.17,1.17
Thu May 01 2025 00:00:00 GMT+0700 (Western Indonesia Time),-0.37,-0.37
Sun Jun 01 2025 00:00:00 GMT+0700 (Western Indonesia Time),0.19,0.19
Tue Jul 01 2025 00:00:00 GMT+0700 (Western Indonesia Time),0.3,0.3
Fri Aug 01 2025 00:00:00 GMT+0700 (Western Indonesia Time),0.26,0.26
